FormOf, FormOf
LocatedNear, LocatedNear
CausesDesire, CausesDesire
DistinctFrom, DistinctFrom
Antonym, Antonym
dbpedia/language, dbpedia/language
HasPrerequisite, HasPrerequisite
dbpedia/field, dbpedia/field
HasContext, HasContext
UsedFor, UsedFor
SymbolOf, SymbolOf
dbpedia/knownFor, dbpedia/knownFor
HasA, HasA
InstanceOf, InstanceOf
MadeOf, MadeOf
ExternalURL, ExternalURL
HasFirstSubevent, HasFirstSubevent
NotUsedFor, NotUsedFor
MannerOf, MannerOf
Entails, Entails
NotDesires, NotDesires
CapableOf, CapableOf
ReceivesAction, ReceivesAction
dbpedia/occupation, dbpedia/occupation
AtLocation, AtLocation
HasLastSubevent, HasLastSubevent
dbpedia/genus, dbpedia/genus
dbpedia/influencedBy, dbpedia/influencedBy
DefinedAs, DefinedAs
MotivatedByGoal, MotivatedByGoal
Causes, Causes
NotHasProperty, NotHasProperty
dbpedia/product, dbpedia/product
EtymologicallyRelatedTo, EtymologicallyRelatedTo
dbpedia/capital, dbpedia/capital
ObstructedBy, ObstructedBy
dbpedia/leader, dbpedia/leader
dbpedia/genre, dbpedia/genre
DerivedFrom, DerivedFrom
SimilarTo, SimilarTo
HasSubevent, HasSubevent
NotCapableOf, NotCapableOf
IsA, IsA
CreatedBy, CreatedBy
HasProperty, HasProperty
RelatedTo, RelatedTo
Desires, Desires
Synonym, Synonym
PartOf, PartOf
